oID, oNAME, cID, howTOx
168, "toy (not mostly metal or rigid plastic)", 6000, "Donate or sell if in good condition (certain restrictions apply). Otherwise discard as garbage on your regular collection day(s)."
169, "TVs and peripherals", 6000, "Donate or sell if in working condition. Otherwise recycle through a legally-mandated free take-back program for TVs, VCRs, DVRs, DVD/Blu-Ray players, cable or satellite receivers, and video game consoles. Can be taken to upcoming DSNY SAFE disposal events. It is illegal to place electronic waste in the garbage."
170, "umbrellas", 6000, "These items are problematic to recycle, do not place in recycling bin. Discard as garbage on your regular collection day(s)."
171, "unwanted medication", 6000, "Participate in periodic collection events, or use mailback envelope sold at many pharmacies. Otherwise, most should be mixed with a material like coffee grounds or kitty litter, put in nondescript container marked "not recyclable - disposal only," and discarded as regular garbage. If instructed to do so on the label, certain medications should be flushed for safety purposes."
172, "vehicle", 6000, "Donate vehicles; report abandoned vehicles."
173, "wagon/cart (mostly metal or rigid plastic)", 6000, "Donate or sell if in good condition. Otherwise set out next to your recycling container on your recycling collection day."
174, "wagon/cart (not mostly metal or rigid plastic)", 6000, "Donate or sell if in good condition. Otherwise, discard as garbage on your regular collection day(s)."
175, "water bottle", 2000, "Empty & rinse. Recycle with metal, glass, plastic & cartons, or return to store for refund."
176, "wax or plastic coated paper", 2000, "These items are problematic to recycle; do not place in recycling bin. Discard as garbage on your regular collection day(s). Lightly waxed or plastic-coated paper, such as magazines or cereal and toothpaste boxes can be recycled."
177, "wine bottle", 2000, "Empty & rinse. Recycle with metal, glass, plastic, & cartons."
178, "wine cooler", 2000, "Empty & rinse. Recycle with metal, glass, plastic & cartons, or return to store for refund."
179, "wreath", 6000, "Because wreaths contain wire, they can't be composted and should be discarded as bulk garbage on your regular collection day(s)."
